,id,1. I listen carefully to everything that is said in class,2. I ask questions about what I do not know.,3. I interact with my peers during class.,4. I strive to understand lessons during class.,5. I am alert during class.,6. I always participate in discussions with my teacher.,7. I am always eager to attend class.,8. I always complete my assignments.,9. I prefer to complete activities and assignments during class with my instructor and peers.,10. Enough time is provided during class for practice activities and discussions.,11. I always ask the instructor about difficult content.,12. I attempt to apply things that I learned during class.,13. I relate to my peers and discuss with them what I learned at home.,14. I strive to acquire new knowledge about the course.,15. Being familiar with the content prior to attending class motivates me and increases my engagement.,16. Preparing for lessons enables me to communicate better with my peers and the instructor.,17. Familiarizing myself with content prior to attending a lecture enables me to share what I learned with others during class.,18. I enjoy the class.,19. The teaching method practiced by the instructor is enjoyable.,20. I enjoy the practice activities conducted during class.,21. I enjoy studying content at home.,22. I like it when the instructor asks me questions.,23. I am optimistic when I go to class with an understanding of the content.,24. Participating in class discussions boosts my confidence.,25. Solving and sharing problems during class is enjoyable.,"Before taking this course, have you learned any programming languages? No, please answer no. If yes, please fill in which programming languages you have learned.",Before class overview (Survey) course content,I will ask myself questions about the content of the course before class(Question),I have prepared the content of the course through detailed reading before class,I will review the content of the course in the summary activity in the class or through the recall after the class.,I will review the content of the course after class,I think SQ3R reading strategy is helpful to my study,I think filling in the course questionnaire is helpful to my study,"Regarding the questionnaire content (participation, SQ3R), what do you want to say to the teacher"
0,0cebfa477ed3e2e0c5a3f9aa96c23698,4,3,4,5,4,2,4,5,4,4,2,4,4,5,5,5,5,5,4,4,3,4,5,5,5,c,5,5,4,5,4,5.0,3.0,
1,ef42bcd3300605e66dc7f8c01f773dec,5,4,5,5,5,4,4,5,5,4,4,5,5,5,5,4,4,4,4,4,3,3,3,4,4,無,3,2,3,5,5,3.0,2.0,
2,3d606cd38291c1e5941bc1c37f84f216,4,2,3,4,3,1,3,5,3,4,1,3,2,4,3,2,2,3,3,4,4,3,3,2,4,有,3,2,3,3,3,2.0,3.0,
3,b84f9624c8d995c6b945afc898bd9973,3,2,5,5,3,2,5,5,5,5,2,4,5,5,3,3,5,5,3,3,5,1,3,2,5,JAVA,3,2,3,3,3,3.0,3.0,
4,f081b3cddc1a85f07c2560673f28547f,4,3,5,4,4,2,3,5,4,2,1,4,4,5,4,5,5,4,4,4,5,2,4,4,5,無,4,3,4,4,4,3.0,3.0,
5,f5fd1f70d1747238d53ec5ef722d68d7,4,3,4,4,4,3,3,5,5,4,3,4,3,4,4,4,4,4,3,4,3,3,3,3,4,無,3,3,4,4,4,3.0,3.0,
6,c054e8c731029ce6d73c784213513b09,5,5,1,5,3,2,5,5,1,5,5,5,4,5,5,5,5,2,1,2,4,5,5,2,2,無,5,5,5,5,5,4.0,1.0,
7,ef3a6cc38845548b4329271ac48d638d,4,2,4,2,3,2,4,3,5,2,4,2,2,4,2,3,4,4,3,4,4,2,3,4,2,無,1,2,2,3,3,2.0,3.0,
8,0a715a568a054d7996fcbcbf17b36551,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,無,3,3,4,4,4,4.0,4.0,無
9,a6f51cc7deb4cb5c5f493747f0e6e3a5,3,3,1,3,3,1,2,4,3,4,2,3,4,3,3,3,3,3,3,3,2,2,3,2,2,無,5,4,2,3,4,3.0,3.0,
10,a5841e53cf792922ad8a7c033329f09c,3,4,4,3,3,2,4,4,4,3,2,4,4,3,4,4,3,4,4,4,4,3,3,4,3,C++,3,2,3,4,4,3.0,3.0,
11,a92f1708363527a34d93b0bc7840262c,3,3,5,4,4,3,3,5,5,3,3,5,3,5,5,5,3,3,3,3,5,3,5,3,3,無,5,5,5,5,5,2.0,2.0,
12,8f5bbf339fb86953ffe9148794fcc52a,4,3,5,4,4,3,3,3,4,1,2,4,5,4,4,4,4,3,3,3,5,3,4,4,4,無,3,3,3,4,4,3.0,3.0,無
13,43f0e2e3fc7691c51613758e2b65928e,4,3,3,4,4,3,4,5,5,4,3,5,5,5,4,3,3,5,5,5,3,3,4,3,3,無,5,4,5,5,5,5.0,5.0,無，老師教得很詳細用心，謝謝
14,c07f5585e0746dbf1021e0534565fc94,4,3,4,5,4,3,4,5,2,4,3,5,3,5,2,3,3,4,5,4,3,2,2,2,4,"c,c++,c#,matlab",3,2,2,5,5,4.0,4.0,
15,c3b33b73130d1e4649f10117f7508195,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,3,3,3,4,4,4,3,4,4,4,無,3,3,3,3,3,3.0,3.0,
16,a3891cc21e1dd0051caa212b95c928f0,3,3,1,2,2,2,3,5,3,4,3,4,5,3,3,3,3,4,4,3,3,3,2,3,3,"一年前有學過fortran,GRADs",2,2,2,2,4,3.0,3.0,
17,82641bcdf4d62d9f473022a2bee912d4,5,3,5,5,5,3,5,5,5,4,3,5,5,5,5,5,3,5,5,5,5,3,5,5,3,無,5,3,5,5,5,3.0,3.0,
18,a23402a174a55c4211136df4425a724e,3,2,4,3,3,2,3,5,4,4,2,4,4,4,4,4,4,4,3,4,4,3,4,3,3,無,4,3,4,4,4,4.0,3.0,
19,fbc64c2a6c18eb693cb24d8081e034df,5,3,5,4,5,2,3,4,3,5,2,5,3,4,2,3,3,4,4,4,2,2,4,4,4,無,1,2,3,2,5,3.0,3.0,
20,641eaeb08588407b37b1c2c109b59761,4,5,2,5,3,3,4,5,2,5,5,5,3,5,3,4,4,5,4,4,5,3,4,3,4,C/C++,4,5,4,5,5,3.0,3.0,"沒有問題
只是覺得學習還是要自發"
21,479e88f02385c56f386d07d59f02a3b2,3,2,4,4,3,2,2,4,3,1,2,4,2,4,3,3,3,2,2,2,3,2,4,3,4,無,2,5,4,4,3,3.0,2.0,
22,b64ce7758b9f7e58f1ad8bbcf7811e7d,5,5,5,5,4,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,3,4,5,5,5,無,5,4,5,4,3,5.0,5.0,
23,86348207eecbbfef7db739a2f6595e18,4,4,4,4,4,3,4,3,4,3,4,4,5,5,4,4,4,5,5,5,5,3,5,5,5,碰過一點點lua,4,4,4,4,5,4.0,4.0,
24,1361825bdeb54e5153e74389df8a2a10,3,3,3,3,3,3,2,3,2,2,2,3,3,3,3,3,3,2,3,2,4,3,2,3,3,無,2,2,2,2,4,1.0,3.0,
25,e5d4b572258708faa5eb1c382eaba86c,4,4,4,4,4,4,3,3,4,4,4,4,2,4,4,3,4,4,4,4,5,4,4,4,4,C++,4,3,4,2,4,3.0,4.0,
26,bd47306d1ab10377783e37d4d363e482,4,4,3,4,4,3,4,4,2,4,3,4,3,4,3,4,4,5,3,3,3,3,3,3,3,無,4,3,4,3,3,3.0,3.0,無
27,4f9f1b81a07e3a192853ab1099a68fca,5,4,4,5,5,3,4,5,4,4,4,5,3,5,5,4,5,4,3,4,5,3,5,4,4,無,5,4,5,5,5,4.0,4.0,
28,0307ea84b89fceab3b507fec1900ce7e,5,3,3,4,4,3,3,5,3,2,3,4,3,5,4,4,3,4,4,4,4,3,4,3,3,無,5,4,4,4,4,4.0,4.0,
29,f8bb7ed0860701686be0bcaad12dcee6,2,1,1,5,2,1,3,5,2,2,1,2,1,5,5,5,3,4,4,3,5,3,5,3,4,無,5,5,5,5,3,3.0,3.0,
30,bebc49073c8a5def929612def946c281,3,3,1,4,2,2,3,5,3,5,1,5,1,3,2,2,3,4,4,3,4,2,2,2,3,JAVA,2,2,3,4,4,2.0,2.0,
31,b69c06f1f563ace3c69c7b32f2a6c850,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,java,4,5,5,5,5,5.0,5.0,
32,4e3519d7eafbfccdae231756fcf2ce9c,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,C++,4,4,4,4,4,4.0,4.0,
33,604adb5a2ffd0f8313a8b6f1da784ba5,4,4,5,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,無,5,5,5,5,5,5.0,5.0,
34,deab088838618d0f80db74ae4a277269,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,R,5,5,5,5,5,5.0,5.0,
35,5f1981994e777f8d76c45df9adfc8662,3,2,1,1,3,1,2,1,5,2,1,1,1,2,3,4,2,2,1,2,3,4,2,1,5,無,2,3,3,4,4,1.0,4.0,"程式不需要知道完美的定義 會用就才是正確的
如何會用程式、知道怎麼在不會用的時候查詢 遠比知道=左邊叫做甚麼或是初始化是甚麼還重要
考試的方式、上課的內容卻不是在理解而是背誦 這感覺很奇怪"
36,a6a0726e8604766b4636749d9203842b,4,4,4,4,4,3,4,5,5,3,3,4,4,4,4,5,5,4,4,4,3,3,4,4,4,C++,5,3,3,5,5,3.0,4.0,
37,6d5a2a59f6f376602a835fe57c70455b,5,3,5,4,4,2,3,5,4,4,2,4,5,5,5,5,4,4,4,4,5,3,5,4,5,r語言,4,5,4,4,3,3.0,5.0,希望能放每個程式的正確寫法讓我課後練習的時候有正確參照
38,2bd3b13fa417ca0970aa75e44af86549,2,1,1,4,2,1,1,3,1,3,1,4,1,3,3,1,2,3,3,3,5,1,4,2,2,無,2,2,2,2,2,1.0,2.0,
39,4c2a6bec22f436e1b14bbefa24443b4d,5,4,5,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,4,5,4,4,5,5,5,一點c++，一點python,5,2,5,5,4,5.0,5.0,很特別的學習法，以前沒有學過，很有趣，學習起來更有邏輯了
40,f65238cddaeec1be538e9c1a5990e48f,4,5,4,5,4,3,3,5,5,5,4,5,3,5,3,3,4,5,5,5,2,2,3,3,5,無,4,4,4,3,3,3.0,3.0,
41,b2d48f67a089cc23fb2bc7729f8a2300,3,3,2,4,3,2,2,2,2,4,2,3,1,5,3,5,2,3,3,3,5,3,4,3,3,C++,4,2,3,3,4,4.0,2.0,
42,27c8f93d752f0222aa211e0691cebee4,5,5,5,5,4,4,4,5,5,5,3,3,4,5,5,5,5,4,4,4,4,3,5,4,5,無,5,4,5,5,4,4.0,4.0,謝謝老師 老師辛苦了
43,a7e82fef913fa275bef458aade2e5ae4,4,4,3,4,4,3,4,4,3,4,3,4,4,4,4,4,3,4,3,4,4,3,4,3,4,無,4,3,4,4,3,3.0,3.0,謝謝老師與助教們的耐心
44,ca7f48cb0d61ed7c967adf1a0010367e,3,4,3,3,3,3,3,3,3,4,3,4,3,4,3,4,4,4,3,3,5,3,4,3,3,無,4,3,3,4,4,4.0,4.0,
45,2979bd5d5a584c2aa70f4a434412bc2b,5,5,5,4,5,3,5,5,5,5,3,3,5,5,4,3,5,5,5,5,5,1,3,5,5,無,5,5,3,4,5,5.0,1.0,
46,92c1e87578f7b00e26df9d0ad21c63da,4,2,4,5,4,2,4,4,4,4,2,3,2,5,4,4,4,4,4,4,3,3,5,3,4,"C++,Matlab",5,4,5,5,3,4.0,3.0,
47,481c56986ebae62c870b0da9bbafc5c6,5,5,5,5,3,3,3,5,3,5,3,5,4,5,5,5,5,4,3,3,3,4,5,4,5,沒有,4,4,4,4,4,3.0,3.0,謝謝老師
48,6df42c634fbdd9f3c1a33219e89e4939,5,5,3,5,5,2,5,4,3,4,3,4,3,5,5,5,3,5,5,4,4,4,5,5,5,無,5,5,4,4,5,5.0,5.0,
49,dd48bc0174c3ca2370b0a49c2bd6fa82,4,3,4,4,4,2,3,5,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,無,5,5,4,5,5,3.0,3.0,
50,9feda7bbf2a2e9b1b6ed4a1daa538960,4,1,1,4,3,1,2,4,4,3,1,4,4,4,2,2,2,3,3,3,4,2,2,3,3,scratch ,4,3,2,3,4,2.0,3.0,因為作業有時候會分散在各個系統裡，每個作業都不多但是沒有清單的話很容易會漏掉某個作業，所以希望如果每周都有一個作業清單的話會更清楚每周應該要做的功課，對於不熟跟複習的部分也能透過作業的練習更加強，還有就是其實程式練習的時候就能考驗我對於課程內容的了解程度，可是如果加入克漏字和簡答題和評估系統的時候有時候會壓縮到能夠練習程式的時間，所以對於我說這三個系統其實沒有那麼必要，但還是謝謝老師的用心，引進這麼多的系統想要幫助我們學習。
51,95289197f5de3bb81c7622133a0199ee,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"R,Python",4,4,4,4,4,4.0,4.0,
52,a0dce576762dccbadb3476bad1732c82,4,3,4,4,4,3,4,5,5,3,3,4,5,5,5,4,4,4,3,3,3,3,4,3,4,無,5,4,4,4,4,4.0,3.0,
53,b1dfc5c6ec04d46d1823c5fa972ad320,4,5,1,5,3,1,3,5,2,4,5,5,5,5,5,3,5,5,5,5,1,3,5,4,5,無,2,1,2,4,4,3.0,2.0,我覺得難度可以再難一點，可能因為是初階課程的關係，不過還是覺得有點可惜。謝謝老師
54,87959ef435c61f280e3402229c796940,4,5,5,5,4,3,4,5,5,5,3,5,5,5,4,5,5,4,4,5,5,4,5,5,5,C++ Java ,5,5,5,5,4,4.0,4.0,
55,be9c58e4a639094d9f2c8bfec91afc16,4,3,2,3,3,2,3,3,2,2,2,4,2,4,4,4,4,5,5,5,4,4,3,4,3,無,3,3,3,5,5,5.0,4.0,
56,1d6a9b03150137d40a4b024518aa0fa6,4,4,5,4,4,2,3,5,5,3,2,4,4,5,3,4,2,4,4,3,3,2,3,3,4,上過微積分的python課(3堂)、計算機概論課的上機(c++)2堂,3,2,4,4,5,0.0,,
57,59d4d32d1adaab3ed5ecbf5ca9d728ca,3,3,1,5,3,1,3,4,3,5,4,5,5,3,3,4,4,3,3,3,3,4,4,5,5,"C, C++, Java, SQL",3,3,3,3,4,3.0,,
58,76fa75f0e9cd794207dda975ca84dfb3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,C++,5,3,4,4,5,5.0,,
59,a2dc2d0036c53b22cb9fb6bc280809f5,4,3,1,4,4,3,4,5,1,4,3,4,5,4,2,2,2,4,5,5,4,4,2,2,3,VB,2,4,5,4,4,5.0,,
60,f83882e0705489c3c0514fe226fdda4f,3,2,1,5,3,1,3,5,2,4,2,5,3,4,4,4,4,3,2,3,5,2,3,2,3,無,4,2,3,4,4,3.0,,
61,7359eff18cfd86cf045a149530e26627,4,3,3,4,3,2,2,4,4,2,2,4,4,4,3,3,3,3,3,3,4,3,4,2,4,Python,3,3,2,3,4,4.0,,
62,d21e4243dd618580580846f676c2b85a,3,3,5,4,3,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,3,3,有，C語言,4,3,4,3,4,3.0,,
63,321fe53fdc9f70e4d17930e03cbd49e7,4,3,5,5,4,4,3,5,3,3,3,4,5,4,3,3,3,4,3,3,3,3,3,3,3, C++、Java,3,3,3,3,3,3.0,,
64,60085c119be41ce2a56c2576583d821c,4,4,4,5,3,2,4,5,3,3,2,4,3,5,4,4,4,4,2,3,4,2,4,3,4,C.java,5,3,4,4,4,4.0,,
65,8b1862b185a8d8e375ab781e55e3c39a,5,3,5,4,4,3,4,5,4,5,3,5,5,5,5,4,4,5,4,4,5,5,4,4,5,c++ c,4,5,5,4,5,4.0,,
66,9b430de7406c68bb31fd726c99ac3558,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,C,3,3,3,3,3,3.0,,
67,320c71e05fde5152c26575798bfeb953,5,4,4,5,5,3,4,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,無,5,5,5,5,5,5.0,,
68,92f1d409e9283fc62ebc7d59279f15c3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,無,4,3,3,3,3,3.0,,
69,af4a88df59c0df41ee7fca0ca57fba3a,3,3,3,3,3,2,2,3,3,2,2,3,2,3,3,3,3,3,3,2,3,2,3,2,2,c++,3,3,2,3,3,3.0,,
70,5d83718570cad6c421fc5c9e9b80159e,2,2,5,5,4,1,2,5,5,2,1,2,4,4,4,4,3,3,2,2,2,2,4,4,3,無,3,3,3,3,3,3.0,,
71,f1641addf883c1130a801d06d07eef4c,5,2,3,4,5,2,2,4,4,1,1,4,4,4,3,3,3,2,1,2,2,2,3,4,4,無,3,3,3,1,4,1.0,,
72,8792667543b9f7376fb03c96b4b485a6,3,2,3,3,2,1,3,4,4,5,1,2,4,3,3,2,2,4,2,3,4,1,3,2,4,０,2,2,1,3,3,3.0,,
73,93229bfed1b03a573e6139c21fc4e5c7,4,4,5,3,4,2,2,4,3,3,3,4,4,5,3,3,3,3,3,3,5,3,3,3,4,c java,3,3,3,3,3,3.0,,
74,97ff350207ca6a952e2b62129e0549f0,4,2,5,3,3,1,3,4,5,4,1,1,2,5,2,3,3,4,4,4,5,2,2,3,5,無,2,2,2,3,5,3.0,,
75,ef64bcdb755a678ecea401b713fee614,3,2,4,5,3,1,2,3,3,5,1,4,4,4,4,3,2,5,5,4,5,3,5,4,4,c++ java,4,2,4,4,4,3.0,,
76,9879db96946fbb8a3e255ab8815c577e,4,3,3,4,4,3,3,5,4,4,3,3,2,5,3,3,3,5,5,5,3,3,4,4,4,無,3,2,2,3,4,4.0,,
77,6ae71a054e9a503a1f0950de131833a2,4,4,4,3,4,3,3,3,4,4,3,4,5,5,4,4,4,3,4,4,4,2,4,3,5,無,5,4,5,5,5,4.0,,
78,f0c4f08113a2bc5a9275dd881c616a92,3,4,4,4,3,3,3,3,4,2,2,3,2,4,3,4,4,3,2,2,3,3,4,3,4,c++,3,2,2,2,2,3.0,,
79,e4f677ad43c84ada8abc579c6abf9aee,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,"python, c++",3,1,2,4,4,2.0,,
80,d5a1f82d20610cfc2ee2df22e16ad238,4,2,1,3,3,1,1,4,4,2,1,3,1,4,2,3,3,2,2,3,4,2,2,1,2,c java,2,1,1,3,4,2.0,,
81,4e4fc034dea12369dc5de555ad478a07,3,2,4,4,2,1,3,5,4,4,2,4,2,3,2,5,4,3,3,4,3,2,4,4,4,"fortran90,Matlab",4,2,4,1,2,3.0,,
82,b3544e076d49acb0dd2af969419895f0,3,2,5,3,2,2,2,3,3,3,2,4,5,3,2,2,4,4,3,3,5,3,2,3,3,c++,1,1,2,4,5,3.0,,
83,3d2fd5b219300a9aee7b21887a24c539,5,5,1,5,5,3,5,5,4,5,3,5,3,5,4,4,4,5,5,5,5,3,4,4,4,"有，c, java, swift",2,2,2,5,5,4.0,,
84,f79d398d62d5eaff8d7b1f9f6aaf65ab,4,4,4,5,3,2,3,4,4,4,3,4,4,4,3,4,4,3,4,3,5,3,3,3,3,"c, java",4,3,4,4,4,4.0,,
85,0c7b9053af0850d3eaa8b61de50a26cd,5,5,5,5,5,3,4,5,4,4,3,5,5,5,5,5,5,5,5,5,5,4,5,4,5,html,5,5,5,5,5,5.0,,
86,65e452ca8afdf0ba6a8cbc4af63da728,3,1,2,5,3,1,1,5,4,3,1,5,1,5,1,4,4,3,3,3,5,1,4,1,2,matlab,4,2,4,3,1,3.0,,
87,5104564f160fb05b4b79bbdb09c03c4f,4,3,4,5,4,3,3,4,4,4,3,5,4,5,3,3,4,4,4,4,3,2,3,3,3,C++,3,2,2,3,4,4.0,,
88,cb75e24ff92bb3f07f0051b945d5295b,5,3,3,4,4,3,4,5,4,4,3,4,3,4,4,3,3,4,4,3,3,3,3,3,3,無,3,3,3,4,4,3.0,,
89,98a2576c48530076abcaf557f266efd9,3,2,4,4,3,1,3,5,5,4,1,4,3,4,5,5,3,4,4,4,3,4,5,4,5,微積分的上機 Python,3,1,4,3,3,4.0,,
90,6f07da24588ef7be16618bbe848d2aa6,4,3,5,5,4,2,3,5,4,5,3,5,4,5,4,4,4,4,3,4,5,3,4,3,4,無,4,3,3,4,4,3.0,,
91,995eae68fe66f02aa88128425cc87e81,4,2,4,5,3,2,3,4,3,3,2,5,4,4,3,4,4,5,4,4,1,4,4,4,4,C++，忘光光了但還記得部分語法,2,2,2,3,4,3.0,,
92,32e7400bb54ff66588587d2f2b1b22c2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,無,5,5,5,5,5,5.0,,
93,579c29c5407ed999b692374653d25a61,3,1,5,5,3,2,3,5,5,4,2,4,4,5,3,3,2,4,3,4,3,2,2,2,4,無,4,4,4,4,3,4.0,,
94,c2e15430ed832457c780c948b21c37ec,2,4,5,5,3,3,4,5,5,4,2,5,2,5,5,5,5,5,4,4,3,1,4,5,5,C java ,5,3,4,4,3,4.0,,
95,3750e5317d2967d407e66236ad3b7ab5,4,3,4,4,3,2,3,4,5,5,3,4,4,4,4,4,4,5,4,4,5,4,4,3,4,matlab,4,3,4,4,4,3.0,,
96,3e5fd8ec3f352d90ff3906ae403ebeac,4,4,5,5,4,3,4,5,3,4,2,5,3,5,5,5,4,5,5,5,4,3,5,3,5,沒有,5,4,4,5,5,4.0,,
97,b7848fb18dbf386464e7cb7c37758241,3,3,1,3,2,2,3,3,3,3,2,3,2,4,3,4,2,3,3,3,3,2,4,3,3,無,4,3,4,4,3,3.0,,
98,64d3bd3b339f63a66b8c878b561551d8,4,1,2,4,4,1,2,1,2,1,1,3,1,4,2,4,4,3,3,2,4,1,2,2,1,無,2,2,2,3,5,4.0,,
99,77174b6a21fc52977ea8a50f8e325beb,5,4,5,4,5,4,4,4,4,5,4,4,3,4,4,4,4,4,4,5,3,3,4,4,4,R語言,4,3,2,5,5,4.0,,
100,3723be496725be52bc640fd39aea51e6,2,2,3,3,2,1,1,3,5,1,1,1,1,3,2,3,2,2,1,2,5,1,2,2,2,無,3,3,3,3,3,3.0,,
101,d5d6ef4cf638f306e8948582b7662c45,5,4,5,5,5,3,5,5,5,3,3,5,4,5,5,5,4,5,4,4,4,2,5,5,5,"Pascal, C++",5,3,5,5,5,5.0,,
